2023-05-23 11:41:44.834  WARN 30488 --- [http-nio-8088-exec-4] c.a.druid.pool.DruidAbstractDataSource   : discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/zxtk_db?useSSL=false&serverTimezone=Asia/Shanghai&useUnicode=true&characterEncoding=utf-8&allowPublicKeyRetrieval=true, version : 1.2.5, lastPacketReceivedIdleMillis : 884856
2023-05-23 11:41:44.834  WARN 30488 --- [http-nio-8088-exec-8] c.a.druid.pool.DruidAbstractDataSource   : discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/zxtk_db?useSSL=false&serverTimezone=Asia/Shanghai&useUnicode=true&characterEncoding=utf-8&allowPublicKeyRetrieval=true, version : 1.2.5, lastPacketReceivedIdleMillis : 884854
2023-05-23 11:48:32.969  WARN 30488 --- [http-nio-8088-exec-9] c.a.druid.pool.DruidAbstractDataSource   : discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/zxtk_db?useSSL=false&serverTimezone=Asia/Shanghai&useUnicode=true&characterEncoding=utf-8&allowPublicKeyRetrieval=true, version : 1.2.5, lastPacketReceivedIdleMillis : 408106
2023-05-23 11:48:32.970  WARN 30488 --- [http-nio-8088-exec-9] c.a.druid.pool.DruidAbstractDataSource   : discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/zxtk_db?useSSL=false&serverTimezone=Asia/Shanghai&useUnicode=true&characterEncoding=utf-8&allowPublicKeyRetrieval=true, version : 1.2.5, lastPacketReceivedIdleMillis : 408112
2023-05-23 11:56:49.274  WARN 30488 --- [http-nio-8088-exec-5] c.a.druid.pool.DruidAbstractDataSource   : discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/zxtk_db?useSSL=false&serverTimezone=Asia/Shanghai&useUnicode=true&characterEncoding=utf-8&allowPublicKeyRetrieval=true, version : 1.2.5, lastPacketReceivedIdleMillis : 494737
2023-05-23 11:56:49.274  WARN 30488 --- [http-nio-8088-exec-4] c.a.druid.pool.DruidAbstractDataSource   : discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/zxtk_db?useSSL=false&serverTimezone=Asia/Shanghai&useUnicode=true&characterEncoding=utf-8&allowPublicKeyRetrieval=true, version : 1.2.5, lastPacketReceivedIdleMillis : 494734
2023-05-23 11:56:49.275  WARN 30488 --- [http-nio-8088-exec-5] c.a.druid.pool.DruidAbstractDataSource   : discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/zxtk_db?useSSL=false&serverTimezone=Asia/Shanghai&useUnicode=true&characterEncoding=utf-8&allowPublicKeyRetrieval=true, version : 1.2.5, lastPacketReceivedIdleMillis : 494741
2023-05-23 11:58:43.361  WARN 30488 --- [http-nio-8088-exec-7] c.a.druid.pool.DruidAbstractDataSource   : discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/zxtk_db?useSSL=false&serverTimezone=Asia/Shanghai&useUnicode=true&characterEncoding=utf-8&allowPublicKeyRetrieval=true, version : 1.2.5, lastPacketReceivedIdleMillis : 113784
2023-05-23 11:58:43.362  WARN 30488 --- [http-nio-8088-exec-7] c.a.druid.pool.DruidAbstractDataSource   : discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/zxtk_db?useSSL=false&serverTimezone=Asia/Shanghai&useUnicode=true&characterEncoding=utf-8&allowPublicKeyRetrieval=true, version : 1.2.5, lastPacketReceivedIdleMillis : 113786
2023-05-23 11:58:43.363  WARN 30488 --- [http-nio-8088-exec-7] c.a.druid.pool.DruidAbstractDataSource   : discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/zxtk_db?useSSL=false&serverTimezone=Asia/Shanghai&useUnicode=true&characterEncoding=utf-8&allowPublicKeyRetrieval=true, version : 1.2.5, lastPacketReceivedIdleMillis : 113789
2023-05-23 12:01:35.074  WARN 30488 --- [http-nio-8088-exec-2] c.a.druid.pool.DruidAbstractDataSource   : discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/zxtk_db?useSSL=false&serverTimezone=Asia/Shanghai&useUnicode=true&characterEncoding=utf-8&allowPublicKeyRetrieval=true, version : 1.2.5, lastPacketReceivedIdleMillis : 169246
2023-05-23 12:01:35.075  WARN 30488 --- [http-nio-8088-exec-2] c.a.druid.pool.DruidAbstractDataSource   : discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/zxtk_db?useSSL=false&serverTimezone=Asia/Shanghai&useUnicode=true&characterEncoding=utf-8&allowPublicKeyRetrieval=true, version : 1.2.5, lastPacketReceivedIdleMillis : 169247
2023-05-23 12:01:35.076  WARN 30488 --- [http-nio-8088-exec-2] c.a.druid.pool.DruidAbstractDataSource   : discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/zxtk_db?useSSL=false&serverTimezone=Asia/Shanghai&useUnicode=true&characterEncoding=utf-8&allowPublicKeyRetrieval=true, version : 1.2.5, lastPacketReceivedIdleMillis : 169250
2023-05-23 12:08:28.908  WARN 30488 --- [http-nio-8088-exec-3] c.a.druid.pool.DruidAbstractDataSource   : discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/zxtk_db?useSSL=false&serverTimezone=Asia/Shanghai&useUnicode=true&characterEncoding=utf-8&allowPublicKeyRetrieval=true, version : 1.2.5, lastPacketReceivedIdleMillis : 410168
2023-05-23 12:08:28.909  WARN 30488 --- [http-nio-8088-exec-3] c.a.druid.pool.DruidAbstractDataSource   : discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/zxtk_db?useSSL=false&serverTimezone=Asia/Shanghai&useUnicode=true&characterEncoding=utf-8&allowPublicKeyRetrieval=true, version : 1.2.5, lastPacketReceivedIdleMillis : 410175
